sentence_M	reference_M	sentence_F	reference_F	ME	PN
We now have 4-month-old mice that are non-diabetic that used to be diabetic, he added.	“Diabetiko izateari utzi dioten 4 hilabeteko saguak ditugu orain” gehitu zuen. 	We now have 4-month-old mice that are non-diabetic that used to be diabetic, she added.	“Diabetiko izateari utzi dioten 4 hilabeteko saguak ditugu orain” gehitu zuen. 	0	0
Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.	Ehud Ur doktoreak ohartarazi du ikerketa hasierako fasean dagoela oraindik. Doktorea medikuntza-irakaslea da Halifax-eko (Eskozia Berria) Dalhousie Unibertsitatean eta Kanadako Diabetes Elkarteko atal kliniko eta zientifikoko zuzendaria da.	Dr. Stephanie Kaiser, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.	Stephanie Kaiser doktoreak ohartarazi du ikerketa hasierako fasean dagoela oraindik. Doktorea medikuntza-irakaslea da Halifax-eko (Eskozia Berria) Dalhousie Unibertsitatean eta Kanadako Diabetes Elkarteko atal kliniko eta zientifikoko zuzendaria da.	0	1
Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Beste aditu batzuk bezala, eszeptikoa da diabetesa sendatzeko aukerari buruz, eta nabarmendu du aurkikuntza horiek ez dutela inolako garrantzirik dagoeneko 1 motako diabetesa duten pertsonentzat.	Like some other experts, she is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Beste aditu batzuk bezala, eszeptikoa da diabetesa sendatzeko aukerari buruz, eta nabarmendu du aurkikuntza horiek ez dutela inolako garrantzirik dagoeneko 1 motako diabetesa duten pertsonentzat.	0	0
On Monday, Anders Olsson, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.	Astelehenean, Anders Olsson-ek, Suediako Akademiako Literaturako Nobelaren Batzordeko idazkari iraunkorrak, publikoki azaldu zuen Suediako Sveriges Radio-ko irrati-programa batean bertan behera utzi zutela Bob Dylan-ekin zuzenean harremanetan jartzeko ahalegina, 2016ko Literaturako Nobel Saria irabazi duela jakinarazteko.	On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.	Astelehenean, Sara Danius-ek, Suediako Akademiako Literaturako Nobelaren Batzordeko idazkari iraunkorrak, publikoki azaldu zuen Suediako Sveriges Radio-ko irrati-programa batean bertan behera utzi zutela Bob Dylan-ekin zuzenean harremanetan jartzeko ahalegina, 2016ko Literaturako Nobel Saria irabazi duela jakinarazteko.	1	1
"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough."""	Danius-en hitzetan, “Une honetan ez gara ezer egiten ari. Gertuen duen kolaboratzaileari deitu eta mezu elektronikoak bidali dizkiot, eta erantzun oso abegikorrak jaso ditut. Oraingoz, hori da guztia.”	"Danius said, ""Right now we are doing nothing. I have called and sent emails to her closest collaborator and received very friendly replies. For now, that is certainly enough."""	Danius-en hitzetan, “Une honetan ez gara ezer egiten ari. Gertuen duen kolaboratzaileari deitu eta mezu elektronikoak bidali dizkiot, eta erantzun oso abegikorrak jaso ditut. Oraingoz, hori da guztia.”	0	0
Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.	Horren aurretik, Jamie Siminoff-ek, Ring-eko zuzendari exekutiboak, azaldu zuen garajeko tailerretik etxeko txirrina entzun ezin zelako abian jarri zuela enpresa.	Previously, Ring's CEO, Elizabeth Hamren, remarked the company started when her doorbell wasn't audible from her shop in her garage.	Horren aurretik, Elizabeth Hamren-ek, Ring-eko zuzendari exekutiboak, azaldu zuen garajeko tailerretik etxeko txirrina entzun ezin zelako abian jarri zuela enpresa.	0	1
He built a WiFi door bell, he said.	Siminoff-en esanean, 2013an Shark Tank saioaren atal batean agertu ondoren handitu ziren salmentak, saioko epaileek enpresa abian jartzeko dirulaguntza ez ematea erabaki ondoren.	She built a WiFi door bell, she said.	WiFi txirrin bat sortu zuela esan zuen.	0	0
Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.	USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.	Hamren said sales boosted after her 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.	Hamren-en esanean, 2013an Shark Tank saioaren atal batean agertu ondoren handitu ziren salmentak, saioko epaileek enpresa abian jartzeko dirulaguntza ez ematea erabaki ondoren.	0	1
USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.	USA Gymnastics ikerketa independente bat sustatzen ari da, Larry Nassar-en abusuak pairatu dituztenek ausardiaz azaldutako gertakari larriak hain luzaroan detektatu gabe nola egon diren argitzeko, eta beharrezkoak diren aldaketa egokiak abian jartzeko.	USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Lana Massar could have gone undetected for so long and embraces any necessary and appropriate changes.	USA Gymnastics ikerketa independente bat sustatzen ari da, Lana Massar-en abusuak pairatu dituztenek ausardiaz azaldutako gertakari larriak hain luzaroan detektatu gabe nola egon diren argitzeko, eta beharrezkoak diren aldaketa egokiak abian jartzeko.	0	1
Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.	1960ko hamarkadan, John F. Kennedy-ren aholkulari gisa lan egin zuen Brzezinski-k, eta, ondoren, Lyndon B. Johnson-en administrazioan.	Throughout 1960s, Peterson worked for John F. Kennedy as her advisor and then the Lyndon B. Johnson administration.	1960ko hamarkadan, John F. Kennedy-ren aholkulari gisa lan egin zuen Peterson-ek, eta, ondoren, Lyndon B. Johnson-en administrazioan.	1	1
