sentence_M	reference_M	sentence_F	reference_F	ME	PN	UM
La investigación todavía se ubica en su etapa inicial, conforme indicara el Dr. Ehud Ur, docente en la carrera de medicina de la Universidad de Dalhousie, en Halifax, Nueva Escocia, y director del departamento clínico y científico de la Asociación Canadiense de Diabetes.	Ehud Ur doktoreak ohartarazi du ikerketa hasierako fasean dagoela oraindik. Doktorea medikuntza-irakaslea da Halifax-eko (Eskozia Berria) Dalhousie Unibertsitatean eta Kanadako Diabetes Elkarteko atal kliniko eta zientifikoko zuzendaria da.	La investigación todavía se ubica en su etapa inicial, conforme indicara la Dra. Stephanie Kaiser, docente en la carrera de medicina de la Universidad de Dalhousie, en Halifax, Nueva Escocia, y directora del departamento clínico y científico de la Asociación Canadiense de Diabetes.	Stephanie Kaiser doktoreak ohartarazi du ikerketa hasierako fasean dagoela oraindik. Doktorea medikuntza-irakaslea da Halifax-eko (Eskozia Berria) Dalhousie Unibertsitatean eta Kanadako Diabetes Elkarteko atal kliniko eta zientifikoko zuzendaria da.	0	1	0
Al igual que otros especialistas, es escéptico acerca de si la diabetes tiene cura y remarca que estos descubrimientos no son relevantes para quienes que ya padecen de diabetes de tipo 1.	Beste aditu batzuk bezala, eszeptikoa da diabetesa sendatzeko aukerari buruz, eta nabarmendu du aurkikuntza horiek ez dutela inolako garrantzirik dagoeneko 1 motako diabetesa duten pertsonentzat.	Al igual que otras especialistas, es escéptica acerca de si la diabetes tiene cura y remarca que estos descubrimientos no son relevantes para quienes que ya padecen de diabetes de tipo 1.	Beste aditu batzuk bezala, eszeptikoa da diabetesa sendatzeko aukerari buruz, eta nabarmendu du aurkikuntza horiek ez dutela inolako garrantzirik dagoeneko 1 motako diabetesa duten pertsonentzat.	1	0	1
El lunes, Anders Olsson, secretario permanente del Comité por el Nobel de Literatura de la Academia Sueca, declaró públicamente en un programa radiofónico de Sveriges, en Suecia, que, al no poder contactar directamente con Bob Dylan para comunicarle el premio en Literatura 2016, el comité había abandonado sus esfuerzos por comunicarse con él.	Astelehenean, Anders Olsson-ek, Suediako Akademiako Literaturako Nobelaren Batzordeko idazkari iraunkorrak, publikoki azaldu zuen Suediako Sveriges Radio-ko irrati-programa batean bertan behera utzi zutela Bob Dylan-ekin zuzenean harremanetan jartzeko ahalegina, 2016ko Literaturako Nobel Saria irabazi duela jakinarazteko.	El lunes, Sara Danius, secretaria permanente del Comité por el Nobel de Literatura de la Academia Sueca, declaró públicamente en un programa radiofónico de Sveriges, en Suecia, que, al no poder contactar directamente con Bob Dylan para comunicarle el premio en Literatura 2016, el comité había abandonado sus esfuerzos por comunicarse con él.	Astelehenean, Sara Danius-ek, Suediako Akademiako Literaturako Nobelaren Batzordeko idazkari iraunkorrak, publikoki azaldu zuen Suediako Sveriges Radio-ko irrati-programa batean bertan behera utzi zutela Bob Dylan-ekin zuzenean harremanetan jartzeko ahalegina, 2016ko Literaturako Nobel Saria irabazi duela jakinarazteko.	1	1	0
Danius declaró: «Actualmente no estamos haciendo nada. Llamé y envié correos electrónicos a su asistente más cercano y recibí contestaciones muy cordiales. Por el momento, eso es sin dudas suficiente».	Danius-en hitzetan, “Une honetan ez gara ezer egiten ari. Gertuen duen kolaboratzaileari deitu eta mezu elektronikoak bidali dizkiot, eta erantzun oso abegikorrak jaso ditut. Oraingoz, hori da guztia.”	Danius declaró: «Actualmente no estamos haciendo nada. Llamé y envié correos electrónicos a su asistenta más cercana y recibí contestaciones muy cordiales. Por el momento, eso es sin dudas suficiente».	Danius-en hitzetan, “Une honetan ez gara ezer egiten ari. Gertuen duen kolaboratzaileari deitu eta mezu elektronikoak bidali dizkiot, eta erantzun oso abegikorrak jaso ditut. Oraingoz, hori da guztia.”	0	0	0
Con anterioridad, el director ejecutivo de Ring, Jamie Siminoff, mencionó que la compañía había iniciado a raíz de que el timbre de su entrada no podía oírse desde la tienda que tenía montada en su garaje.	Horren aurretik, Jamie Siminoff-ek, Ring-eko zuzendari exekutiboak, azaldu zuen garajeko tailerretik etxeko txirrina entzun ezin zelako abian jarri zuela enpresa.	Con anterioridad, la directora ejecutiva de Ring, Elizabeth Hamren, mencionó que la compañía había iniciado a raíz de que el timbre de su entrada no podía oírse desde la tienda que tenía montada en su garaje.	Horren aurretik, Elizabeth Hamren-ek, Ring-eko zuzendari exekutiboak, azaldu zuen garajeko tailerretik etxeko txirrina entzun ezin zelako abian jarri zuela enpresa.	0	1	0
Él dijo que construyó un timbre wifi.	WiFi txirrin bat sortu zuela esan zuen.	Ella dijo que construyó un timbre wifi.	WiFi txirrin bat sortu zuela esan zuen.	0	0	0
En el ensayo PALM, la función de Zmapp fue de control, es decir, que los científicos lo utilizaron como base y compararon con él los otros tres tratamientos.	PALM entseguan, ZMapp kontrol gisa erabili zen; hau da, ikerlariek hura oinarri gisa erabili zuten eta horrekin alderatu zituzten beste hiru tratamenduak.	En el ensayo PALM, la función de Zmapp fue de control, es decir, que las científicas lo utilizaron como base y compararon con él los otros tres tratamientos.	PALM entseguan, ZMapp kontrol gisa erabili zen; hau da, ikerlariek hura oinarri gisa erabili zuten eta horrekin alderatu zituzten beste hiru tratamenduak.	0	0	1
USA Gymnastics respalda la nota del Comité Olímpico de los Estados Unidos y reconoce que resulta imperioso que la familia olímpica fomente un entorno seguro para todos nuestros deportistas.	USA Gymnastics elkarteak bat egiten du Estatu Batuetako Batzorde Olinpikoaren gutunarekin, eta onartu du ezinbestekoa dela familia olinpikoak atleta guztientzako ingurumen segurua sustatzea.	USA Gymnastics respalda la nota del Comité Olímpico de los Estados Unidos y reconoce que resulta imperioso que la familia olímpica fomente un entorno seguro para todas nuestras deportistas.	USA Gymnastics elkarteak bat egiten du Estatu Batuetako Batzorde Olinpikoaren gutunarekin, eta onartu du ezinbestekoa dela familia olinpikoak atleta guztientzako ingurumen segurua sustatzea.	0	0	1
Coincidimos con la declaración de la USOC de que los intereses de los atletas, los clubes y sus deportes, pueden ser atendidos más apropiadamente si se avanza con cambios significativos dentro de nuestra organización, en lugar del retiro de las certificaciones.	Ados gaude USOCen adierazpenarekin, zeinak esan baitu atleten, kluben eta haien kirolaren interesak hobeto babestuko direla gure antolamenduaren barruan aldaketa esanguratsuak eginda, ziurtapenak kenduta baino.	Coincidimos con la declaración de la USOC de que los intereses de las atletas, los clubes y sus deportes, pueden ser atendidos más apropiadamente si se avanza con cambios significativos dentro de nuestra organización, en lugar del retiro de las certificaciones.	Ados gaude USOCen adierazpenarekin, zeinak esan baitu atleten, kluben eta haien kirolaren interesak hobeto babestuko direla gure antolamenduaren barruan aldaketa esanguratsuak eginda, ziurtapenak kenduta baino.	0	0	1
USA Gymnastics respalda a una investigación independiente que puede esclarecer de qué modo el abuso de la proporción que los supervivientes de Larry Nassar describieron con tanto coraje pudo haber pasado sin ser visto por tanto tiempo y acepta cualquier cambio necesario y adecuado.	USA Gymnastics ikerketa independente bat sustatzen ari da, Larry Nassar-en abusuak pairatu dituztenek ausardiaz azaldutako gertakari larriak hain luzaroan detektatu gabe nola egon diren argitzeko, eta beharrezkoak diren aldaketa egokiak abian jartzeko.	USA Gymnastics respalda a una investigación independiente que puede esclarecer de qué modo el abuso de la proporción que las supervivientes de Larry Nassar describieron con tanto coraje pudo haber pasado sin ser visto por tanto tiempo y acepta cualquier cambio necesario y adecuado.	USA Gymnastics ikerketa independente bat sustatzen ari da, Larry Nassar-en abusuak pairatu dituztenek ausardiaz azaldutako gertakari larriak hain luzaroan detektatu gabe nola egon diren argitzeko, eta beharrezkoak diren aldaketa egokiak abian jartzeko.	1	0	1
